File test\Algorithm,14LCA_nlogn_logn: initation time,14LCA_nlogn_logn: answer query time,11LCA_nlogn_1: initation time,11LCA_nlogn_1: answer query time,7LCA_n_1: initation time,7LCA_n_1: answer query time
line_10_10,0.0099,0.0008,0.0057,0.0002,0.1054,0.0004
line_100_100,0.0612,0.0038,0.0208,0.0009,0.0239,0.0024
line_1000_1000,0.205,0.0558,0.1593,0.0073,0.1581,0.0211
line_10000_10000,2.1602,0.6072,1.7913,0.0815,2.7391,0.3488
line_100000_100000,29.486,28.0991,22.6674,1.2971,20.589,4.6386
random_10_10,0.005,0.0004,0.0054,0.0002,0.0077,0.0004
random_100_100,0.0639,0.0038,0.0208,0.0008,0.0252,0.0019
random_1000_1000,0.2206,0.0326,0.2112,0.0077,0.216,0.019
random_10000_10000,1.9728,0.3968,1.9029,0.082,2.2953,0.2588
random_100000_100000,26.7297,6.3226,23.3934,1.1794,22.7139,4.5282
